bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
192,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows i open application Language are working properly but there are City languge are not chenged"
193,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Home page indicators are not working"
194,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Home page  image are loding time is late and response time is poor"
195,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on address book form-pincode are working properly but i enter  pincode  there are city and state are wrong and response time are late"
196,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on address book form-City are working properly but there are response time are late."
197,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Address line are working propery but there i enter only number are available there are not proper"
198,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Search New Cars are responsive time late and hang legy"
199,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Sort  by are working perfectly but there are sort by button color are not working and chenged."
200,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  New Cars categories - Latest Car are  image  previous  button are not available"
201,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  New Cars categories - Latest Car are  image  next  button are not available"
202,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on new Cars Categories-Latest car image color image previous button are not available"
203,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on new Cars Categories-Latest car image color image Next button are not available"
204,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Electric Cars video are working properly but there open time is poor and late"
205,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i  click on Electric Cars video are working properly but there are  video functionlity previous button are not work"
206,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i  click on Electric Cars video are working properly but there are  video functionlity Next button are not work"
207,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Electric Cars video are working properly but share info option are not working"
208,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on Electric Cars video are working properly but  i  click on playback speed  there chenged screen"
209,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on New Cars categories - suggest me a car are working properly but i click on image and i click on back button  redirect to home page"
210,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on New Cars Categories are working properly but loading time is poor"
211,"major","---","Windows","a@gmail.com","ASSIGNED","---","it  shows   be i click on Used Cars categories - Search  Used Cars are loading time is late"
212,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  Used Cars categories - Used Car  Dealers are loading time is late"
213,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  News & Reviews categories - Auto News are loading time is late"
214,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  News & Reviews categories -  User Reviews are loading time is late"
215,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  News & Reviews categories - Write a Review  are Redirect to User Reviews is not perfect"
216,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows  be i click on News & Reviews categories - Car Collections are open  and work properly but View all upcoming cars Gui mistake"
217,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows  be i click on Car services categories all option are working properly but there are loading time very slow"
218,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it  shows  be i click on About Cardekho - about page are Loading time are very late ."
219,"major","---","Windows","a@gmail.com","ASSIGNED","---","it  shows  be i click on About Cardekho - FAQs are Loading time are very late ."
220,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  About Carsdekho - Contact us  form city  are automaticaliy are selected"
221,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows  be i click on  About Cardekho - Contact Us form -Choose File  are not clickable and i click choose file are not add"
222,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows be i click on  About Cardekho - Contact Us form - Submit Button are working properly but i enter value city and please share your feedback what can we improve  and click on Submit button there are no message contact us ."
223,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows  be i click on Settings categories - Notification button are work not proper"
