bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
1,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows slider indicators-colors  showing properly but using keyboard tab key there are indicators color not visible"
2,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Galaxy tab Slider-Next button working properly speed means more than 1 times it chnages the alignment of page"
3,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows Galaxy tab Slider-Previous button working properly speed means more than 1 times it chnages the alignment of page"
4,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on Check Mackbook air laptop it not open and detail are not show"
5,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","It shows Contact us symbol are working properly but number are not clickable and not working"
6,"major","---","Windows","a@gmail.com","ASSIGNED","---","It shows i click on Wish List are open properly but there are redirect to login page"
7,"major","---","Windows","a@gmail.com","ASSIGNED","---","It shows i click on shopping cart are working properly but there are item product are not add  for shopping Cart"
8,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","It shows i click On Checkout are working properly but there are redirect Shopping cart but there are iteam not show"
9,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on item button are working properly but there are iteam are not show"
10,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on Search icon button Search Criteria,All categories,fil up click on serch button there are 500 INTERNAL ERROR"
11,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","it shows i click on Search bar Search any item there are 500 INTERNAL ERROR"
12,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","It shows image sre showing perfectly but company logo are not clickable"
13,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mackbook items Slider-Next Button are working properly but there are speed means more than 1 times it chenges the alignment of page"
14,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mackbook items Slider-Previous Button are working properly but there are speed means more than 1 times it chenges the alignment of page"
15,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mackbook items review Check Your Name there are number are not vaild"
16,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mackbook items review Check your name working properly but only Enter Your Name then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
17,"major","---","Windows","a@gmail.com","ASSIGNED","---","it shows Featured Mackbook items review Check your Review working properly but only Enter Your Review then it shows error messgae for both Your Name,Your Review and Rating that is not correct"
